Office,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,year,,,,
"Taylors Falls, MN",280,29620.74,44,6512.93,,,,,,,,,,,,,,,1869,,,,
"St. Cloud, MN",852,118636.01,121,17013.05,,,,,,,,,,,,,,,1869,,,,
"Winnebago, MN",536,52795.38,524,70934.17,,,,,,,,,,,,,,,1869,,,,
"Greenleaf, MN",554,48849.64,213,23060.92,,,,,,,,,,,,,,,1869,,,,
"St. Peter, MN",850,92742.44,443,46712.89,,,,,,,,,,,,,,,1869,,,,
"Alexandria, MN",297,44745.25,1,160,,,,,,,,,,,,,,,1869,,,,
"Duluth, MN",16,1896.49,3,480,,,,,,,,,,,,,,,1869,,,,
"San Francisco, CA",101,15910.84,132,20858.13,,,,,,,,,,,,,,,1869,,,,
"Marysville, CA",62,8015.67,64,9882.13,,,,,,,,,,,,,,,1869,,,,
"Humboldt, CA",52,7080.06,1,160,,,,,,,,,,,,,,,1869,,,,
"Stockton, CA",132,19701.51,10,1600,,,,,,,,,,,,,,,1869,,,,
"Visalia, CA",60,7421.34,20,3404.4,,,,,,,,,,,,,,,1869,,,,
"Sacramento, CA",21,1537.32,18,2822.04,,,,,,,,,,,,,,,1869,,,,
