id,date_begin,date_end,source_no,name_michno,name_friedman,state,ident_friedman,natives dead,natives dead (amended),natives wounded,natives wounded (amended),natives captured,natives captured (amended),us combatants dead,us combatants wounded,us combatants wounded (amended),us civilians dead,us civilians dead (amended),us civilians wounded,us civilians captured,source,nation 1,nation 2,nation 3,nation 4,pop_group,native casualties,us combatant casualties,us civilian casualties,total casualties,type engagement,x,y
480,1864/06/24,1864/06/24,38,John Day's Road,John Day's Road,Oregon,OR-1864/06/24,,,,,,,,2,2,,,,,Michno: Encyclopedia,Klamath,Modoc,,,1,0,2,0,2,0,-121.3490557,43.06265099
511,1864/06/26,1864/06/26,3,Little Cheyenne River,Little Cheyenne River,South Dakota,DK-1864/06/26,3,3,,,,,1,,,,,,,Michno: Forgotten Fights,Lakota Sioux,,,,4,3,1,0,4,8,-102.7425909,43.87028112
522,1864/07/07,1864/07/07,2,Townsend's Wagon Train,Kaycee,Wyoming,WY-1864/07/07,12,12,several,5,,,,,,4,4,1,,Michno: Forgotten Fights,Cheyenne,,,,3,17,0,5,22,8,-106.462741,43.66504778
19,1864/07/09,1864/07/21,26,Little Colorado River Expedition,Little Colorado River Expedition,Arizona,AZ-1864/07/09,6,6,6,6,,,,,,,,,,Michno: Encyclopedia,Navajo,,,,4,12,0,0,12,10,-109.9507663,34.82080632
523,1864/07/12,1864/07/12,6,Kelly Wagon Train,Little Box Elder Creek,Wyoming,WY-1864/07/12,,,,,,,,,,5,5,3,,Michno: Encyclopedia,Lakota Sioux,,,,4,0,0,8,8,0,-105.7723555,42.70411861
524,1864/07/19,1864/07/19,3,Brown's Spring,Orpha,Wyoming,WY-1864/07/19,,,,,,,1,,,6,6,3,1,Michno: Forgotten Fights,Lakota Sioux,,,,4,0,1,9,10,0,-105.7113017,43.02901403
217,1864/07/20,1864/07/22,14,Cow Creek,Cow Creek,Kansas,KS-1864/07/20,30,30,,,,,,,,2,2,,,Michno: Forgotten Fights,Comanche,Kiowa,Arapaho,,4,30,0,2,32,9,-98.3347287,38.41198568
21,1864/07/28,1864/08/04,27,Pinal Mountains Expedition,Apache War- Pinal Mountains Expedition,Arizona,AZ-1864/07/28,10,10,,,,,,,,,,,,Michno: Encyclopedia,Pinal Apache,,,,1,10,0,0,10,10,-110.9222978,33.28514776
452,1864/07/28,1864/07/28,8,Killdeer Mountain,Dakota War- Battle of Killdeer Mountain,North Dakota,DK-1864/07/28,150,150,,,,,5,10,10,,,,,Michno: Encyclopedia,Santee Sioux,Lakota Sioux,Nakota Sioux,,4,150,15,0,165,9,-102.7077719,47.2685388
218,1864/08/01,1864/08/01,15,Wagon Bed Spring,Ulysses,Kansas,KS-1864/08/01,,,,,,,,,,7,7,,,Michno: Forgotten Fights,Kiowa,Comanche,,,2,0,0,7,7,0,-101.4319696,37.59963167
